Starting model training...
Epoch: 1 [0/868420 (0%)]	Loss: 0.005057
Epoch: 1 [20480/868420 (2%)]	Loss: 0.000972
Epoch: 1 [40960/868420 (5%)]	Loss: 0.000400
Epoch: 1 [61440/868420 (7%)]	Loss: 0.000177
Epoch: 1 [81920/868420 (9%)]	Loss: 0.000160
Epoch: 1 [102400/868420 (12%)]	Loss: 0.000148
Epoch: 1 [122880/868420 (14%)]	Loss: 0.000134
Epoch: 1 [143360/868420 (16%)]	Loss: 0.000131
Epoch: 1 [163840/868420 (19%)]	Loss: 0.000121
Epoch: 1 [184320/868420 (21%)]	Loss: 0.000122
Epoch: 1 [204800/868420 (24%)]	Loss: 0.000107
Epoch: 1 [225280/868420 (26%)]	Loss: 0.000102
Epoch: 1 [245760/868420 (28%)]	Loss: 0.000087
Epoch: 1 [266240/868420 (31%)]	Loss: 0.000088
Epoch: 1 [286720/868420 (33%)]	Loss: 0.000082
Epoch: 1 [307200/868420 (35%)]	Loss: 0.000098
Epoch: 1 [327680/868420 (38%)]	Loss: 0.000084
Epoch: 1 [348160/868420 (40%)]	Loss: 0.000085
Epoch: 1 [368640/868420 (42%)]	Loss: 0.000073
Epoch: 1 [389120/868420 (45%)]	Loss: 0.000073
Epoch: 1 [409600/868420 (47%)]	Loss: 0.000073
Epoch: 1 [430080/868420 (49%)]	Loss: 0.000079
Epoch: 1 [450560/868420 (52%)]	Loss: 0.000074
Epoch: 1 [471040/868420 (54%)]	Loss: 0.000068
Epoch: 1 [491520/868420 (57%)]	Loss: 0.000069
Epoch: 1 [512000/868420 (59%)]	Loss: 0.000074
Epoch: 1 [532480/868420 (61%)]	Loss: 0.000067
Epoch: 1 [552960/868420 (64%)]	Loss: 0.000074
Epoch: 1 [573440/868420 (66%)]	Loss: 0.000059
Epoch: 1 [593920/868420 (68%)]	Loss: 0.000063
Epoch: 1 [614400/868420 (71%)]	Loss: 0.000060
Epoch: 1 [634880/868420 (73%)]	Loss: 0.000063
Epoch: 1 [655360/868420 (75%)]	Loss: 0.000052
Epoch: 1 [675840/868420 (78%)]	Loss: 0.000054
Epoch: 1 [696320/868420 (80%)]	Loss: 0.000053
Epoch: 1 [716800/868420 (82%)]	Loss: 0.000060
Epoch: 1 [737280/868420 (85%)]	Loss: 0.000055
Epoch: 1 [757760/868420 (87%)]	Loss: 0.000054
Epoch: 1 [778240/868420 (90%)]	Loss: 0.000049
Epoch: 1 [798720/868420 (92%)]	Loss: 0.000050
Epoch: 1 [819200/868420 (94%)]	Loss: 0.000043
Epoch: 1 [839680/868420 (97%)]	Loss: 0.000062
Epoch: 1 [860160/868420 (99%)]	Loss: 0.000048
====> Epoch: 1 Average loss: 0.000137
Epoch: 2 [0/868420 (0%)]	Loss: 0.000049
Epoch: 2 [20480/868420 (2%)]	Loss: 0.000052
Epoch: 2 [40960/868420 (5%)]	Loss: 0.000047
Epoch: 2 [61440/868420 (7%)]	Loss: 0.000048
Epoch: 2 [81920/868420 (9%)]	Loss: 0.000048
Epoch: 2 [102400/868420 (12%)]	Loss: 0.000135
Epoch: 2 [122880/868420 (14%)]	Loss: 0.000056
Epoch: 2 [143360/868420 (16%)]	Loss: 0.000045
Epoch: 2 [163840/868420 (19%)]	Loss: 0.000039
Epoch: 2 [184320/868420 (21%)]	Loss: 0.000046
Epoch: 2 [204800/868420 (24%)]	Loss: 0.000048
Epoch: 2 [225280/868420 (26%)]	Loss: 0.000048
Epoch: 2 [245760/868420 (28%)]	Loss: 0.000077
Epoch: 2 [266240/868420 (31%)]	Loss: 0.000051
Epoch: 2 [286720/868420 (33%)]	Loss: 0.000052
Epoch: 2 [307200/868420 (35%)]	Loss: 0.000051
Epoch: 2 [327680/868420 (38%)]	Loss: 0.000043
Epoch: 2 [348160/868420 (40%)]	Loss: 0.000051
Epoch: 2 [368640/868420 (42%)]	Loss: 0.000039
Epoch: 2 [389120/868420 (45%)]	Loss: 0.000040
Epoch: 2 [409600/868420 (47%)]	Loss: 0.000043
Epoch: 2 [430080/868420 (49%)]	Loss: 0.000042
Epoch: 2 [450560/868420 (52%)]	Loss: 0.000039
Epoch: 2 [471040/868420 (54%)]	Loss: 0.000039
Epoch: 2 [491520/868420 (57%)]	Loss: 0.000071
Epoch: 2 [512000/868420 (59%)]	Loss: 0.000046
Epoch: 2 [532480/868420 (61%)]	Loss: 0.000042
Epoch: 2 [552960/868420 (64%)]	Loss: 0.000031
Epoch: 2 [573440/868420 (66%)]	Loss: 0.000040
Epoch: 2 [593920/868420 (68%)]	Loss: 0.000041
Epoch: 2 [614400/868420 (71%)]	Loss: 0.000034
Epoch: 2 [634880/868420 (73%)]	Loss: 0.000034
Epoch: 2 [655360/868420 (75%)]	Loss: 0.000048
Epoch: 2 [675840/868420 (78%)]	Loss: 0.000040
Epoch: 2 [696320/868420 (80%)]	Loss: 0.000177
Epoch: 2 [716800/868420 (82%)]	Loss: 0.000070
Epoch: 2 [737280/868420 (85%)]	Loss: 0.000054
Epoch: 2 [757760/868420 (87%)]	Loss: 0.000035
Epoch: 2 [778240/868420 (90%)]	Loss: 0.000040
Epoch: 2 [798720/868420 (92%)]	Loss: 0.000043
Epoch: 2 [819200/868420 (94%)]	Loss: 0.000036
Epoch: 2 [839680/868420 (97%)]	Loss: 0.000034
Epoch: 2 [860160/868420 (99%)]	Loss: 0.000032
====> Epoch: 2 Average loss: 0.000048
Epoch: 3 [0/868420 (0%)]	Loss: 0.000040
Epoch: 3 [20480/868420 (2%)]	Loss: 0.000036
