Starting model training...
Epoch: 4 [102400/644647 (16%)]	Loss: 0.000010
Epoch: 4 [122880/644647 (19%)]	Loss: 0.000006
Epoch: 4 [143360/644647 (22%)]	Loss: 0.000006
Epoch: 4 [163840/644647 (25%)]	Loss: 0.000006
Epoch: 4 [184320/644647 (29%)]	Loss: 0.000008
Epoch: 4 [204800/644647 (32%)]	Loss: 0.000009
Epoch: 4 [225280/644647 (35%)]	Loss: 0.000010
Epoch: 4 [245760/644647 (38%)]	Loss: 0.000008
Epoch: 4 [266240/644647 (41%)]	Loss: 0.000006
Epoch: 4 [286720/644647 (44%)]	Loss: 0.000006
Epoch: 4 [307200/644647 (48%)]	Loss: 0.000009
Epoch: 4 [327680/644647 (51%)]	Loss: 0.000006
Epoch: 4 [348160/644647 (54%)]	Loss: 0.000005
Epoch: 4 [368640/644647 (57%)]	Loss: 0.000007
Epoch: 4 [389120/644647 (60%)]	Loss: 0.000008
Epoch: 4 [409600/644647 (63%)]	Loss: 0.000008
Epoch: 4 [430080/644647 (67%)]	Loss: 0.000006
Epoch: 4 [450560/644647 (70%)]	Loss: 0.000004
Epoch: 4 [471040/644647 (73%)]	Loss: 0.000008
Epoch: 4 [491520/644647 (76%)]	Loss: 0.000008
Epoch: 4 [512000/644647 (79%)]	Loss: 0.000008
Epoch: 4 [532480/644647 (83%)]	Loss: 0.000007
Epoch: 4 [552960/644647 (86%)]	Loss: 0.000008
Epoch: 4 [573440/644647 (89%)]	Loss: 0.000007
Epoch: 4 [593920/644647 (92%)]	Loss: 0.000009
Epoch: 4 [614400/644647 (95%)]	Loss: 0.000009
Epoch: 4 [634880/644647 (98%)]	Loss: 0.000008
====> Epoch: 4 Average loss: 0.000007
Epoch: 5 [0/644647 (0%)]	Loss: 0.000009
Epoch: 5 [20480/644647 (3%)]	Loss: 0.000008
Epoch: 5 [40960/644647 (6%)]	Loss: 0.000007
Epoch: 5 [61440/644647 (10%)]	Loss: 0.000005
Epoch: 5 [81920/644647 (13%)]	Loss: 0.000004
Epoch: 5 [102400/644647 (16%)]	Loss: 0.000009
Epoch: 5 [122880/644647 (19%)]	Loss: 0.000006
Epoch: 5 [143360/644647 (22%)]	Loss: 0.000007
Epoch: 5 [163840/644647 (25%)]	Loss: 0.000008
Epoch: 5 [184320/644647 (29%)]	Loss: 0.000007
Epoch: 5 [204800/644647 (32%)]	Loss: 0.000008
Epoch: 5 [225280/644647 (35%)]	Loss: 0.000006
Epoch: 5 [245760/644647 (38%)]	Loss: 0.000009
Epoch: 5 [266240/644647 (41%)]	Loss: 0.000007
Epoch: 5 [286720/644647 (44%)]	Loss: 0.000008
Epoch: 5 [307200/644647 (48%)]	Loss: 0.000008
Epoch: 5 [327680/644647 (51%)]	Loss: 0.000005
Epoch: 5 [348160/644647 (54%)]	Loss: 0.000008
Epoch: 5 [368640/644647 (57%)]	Loss: 0.000009
Epoch: 5 [389120/644647 (60%)]	Loss: 0.000006
Epoch: 5 [409600/644647 (63%)]	Loss: 0.000005
Epoch: 5 [430080/644647 (67%)]	Loss: 0.000009
Epoch: 5 [450560/644647 (70%)]	Loss: 0.000007
Epoch: 5 [471040/644647 (73%)]	Loss: 0.000006
Epoch: 5 [491520/644647 (76%)]	Loss: 0.000006
Epoch: 5 [512000/644647 (79%)]	Loss: 0.000009
Epoch: 5 [532480/644647 (83%)]	Loss: 0.000005
Epoch: 5 [552960/644647 (86%)]	Loss: 0.000006
Epoch: 5 [573440/644647 (89%)]	Loss: 0.000008
Epoch: 5 [593920/644647 (92%)]	Loss: 0.000007
Epoch: 5 [614400/644647 (95%)]	Loss: 0.000006
Epoch: 5 [634880/644647 (98%)]	Loss: 0.000006
====> Epoch: 5 Average loss: 0.000007
Epoch: 6 [0/644647 (0%)]	Loss: 0.000006
